# TA_all_positions_ITRF00.csv
# All Telescope Array positions in WGS84/ITRF00
# ENU coordinates relative to CLF ground origin (ITRF00)
#   Origin: lat=39.296917698, lon=-112.908732386, h=1370.017 m
#
# outlier=1: flagged for review
# sigma_h, sigma_horizontal: estimated uncertainties (m)
#
category,site,name,latitude,longitude,h_itrf00,sigma_h,east_clf,north_clf,up_clf,sigma_horizontal,frame,source,outlier,notes
Telescope Mirror,Middle Drum,MD_M13,39.472967,-112.994066,1589.249000,0.020000,-7344.540000,19553.783000,184.964000,0.020000,ITRF00,Total station + ITRF00 monuments,0,
Telescope Mirror,Middle Drum,MD_M14,39.472956,-112.994042,1589.152000,0.020000,-7342.412000,19552.587000,184.873000,0.020000,ITRF00,Total station + ITRF00 monuments,0,
Surface Detector,TA SD,TA_1001,39.131000,-112.939000,1365.098000,1.000000,-2607.500000,-18469.900000,-4.900000,2.000000,ITRF00 (corrected),DEM+geoid+frame correction,0,iono_residual=5.9m
Surface Detector,TA SD,TA_1002,39.141000,-112.940000,1366.829000,1.000000,-2693.600000,-17356.700000,-3.200000,2.000000,ITRF00 (corrected),DEM+geoid+frame correction,0,iono_residual=5.2m
Surface Detector,TA SD,TA_1003,39.152000,-112.940000,1368.265000,1.000000,-2693.600000,-16132.200000,-1.800000,2.000000,ITRF00 (corrected),DEM+geoid+frame correction,0,iono_residual=5.1m
Surface Detector,TA SD,TA_1004,39.162000,-112.940000,1366.662000,1.000000,-2693.600000,-15019.000000,-3.400000,2.000000,ITRF00 (corrected),DEM+geoid+frame correction,0,iono_residual=6.0m
Surface Detector,TA SD,TA_1005,39.173000,-112.940000,1369.021000,1.000000,-2693.600000,-13794.500000,-1.000000,2.000000,ITRF00 (corrected),DEM+geoid+frame correction,0,iono_residual=5.6m
Surface Detector,TA SD,TA_1006,39.184000,-112.940000,1370.392000,1.000000,-2693.600000,-12569.900000,0.400000,2.000000,ITRF00 (corrected),DEM+geoid+frame correction,0,iono_residual=6.4m
Surface Detector,TA SD,TA_1007,39.195000,-112.940000,1371.745000,1.000000,-2693.600000,-11345.400000,1.700000,2.000000,ITRF00 (corrected),DEM+geoid+frame correction,0,iono_residual=6.2m
Surface Detector,TA SD,TA_1008,39.206000,-112.940000,1372.248000,1.000000,-2693.600000,-10120.900000,2.200000,2.000000,ITRF00 (corrected),DEM+geoid+frame correction,0,iono_residual=5.6m
Surface Detector,TA SD,TA_1009,39.217000,-112.940000,1373.952000,1.000000,-2693.600000,-8896.400000,3.900000,2.000000,ITRF00 (corrected),DEM+geoid+frame correction,0,iono_residual=5.7m
Surface Detector,TA SD,TA_1010,39.227000,-112.940000,1376.885000,1.000000,-2693.600000,-7783.200000,6.900000,2.000000,ITRF00 (corrected),DEM+geoid+frame correction,0,iono_residual=5.2m
Surface Detector,TA SD,TA_1011,39.238000,-112.940000,1377.408000,1.000000,-2693.600000,-6558.700000,7.400000,2.000000,ITRF00 (corrected),DEM+geoid+frame correction,0,iono_residual=5.7m
Surface Detector,TA SD,TA_1012,39.249000,-112.940000,1377.421000,1.000000,-2693.600000,-5334.200000,7.400000,2.000000,ITRF00 (corrected),DEM+geoid+frame correction,0,iono_residual=5.4m
