name1,name2,ref,S,H,V
BR_M00,CLF_CLF2,OPUS,10278819.530,6074116.752,8292118.946
BR_M00,LR_LR2,OPUS,35412.027,35411.743,141.923
BR_M00,LR_M10,OPUS,35455.038,35454.729,148.034
BR_M00,LR_M11,OPUS,35455.362,35455.036,151.980
BR_M00,LR_M11,OPUS,35455.354,35455.029,151.984
BR_M00,LR_M11,OPUS,35455.371,35455.045,151.979
BR_M00,LR_M06,OPUS,35457.063,35456.754,148.044
BR_M00,LR_M07,OPUS,35457.424,35457.098,151.991
BR_M00,LR_M08,OPUS,35456.047,35455.738,148.028
BR_M00,LR_M09,OPUS,35456.427,35456.101,151.984
BR_M00,LR2_LR1,OPUS,35387.612,35387.330,141.399
BR_M00,LR2_M00,OPUS,35459.452,35459.143,148.026
BR_M00,LR2_M01,OPUS,35459.576,35459.250,151.979
BR_M00,LR2_M01,OPUS,35459.575,35459.249,151.981
BR_M00,LR2_M01,OPUS,35459.577,35459.251,151.973
BR_M00,LR2_M02,OPUS,35463.238,35462.929,148.020
BR_M00,LR2_M03,OPUS,35463.485,35463.159,151.972
BR_M00,LR2_M04,OPUS,35455.342,35455.033,148.031
BR_M00,LR2_M05,OPUS,35455.657,35455.331,151.983
BR_M00,LR2_M05,OPUS,35455.668,35455.342,151.980
BR_M00,LR2_M05,OPUS,35455.654,35455.329,151.987
BR_M00,MD_MD2,OPUS,39722.581,39722.145,186.038
BR_M00,MD_CXF,OPUS,39885.125,39884.661,192.463
BR_M00,MD_M01,OPUS,39906.331,39905.867,192.404
BR_M00,MD_M10,OPUS,39906.066,39905.603,192.280
BR_M00,MD_M11,OPUS,39902.613,39902.149,192.389
BR_M00,MD_M12,OPUS,39900.739,39900.275,192.292
BR_M00,MD_M13,OPUS,39896.300,39895.836,192.407
BR_M00,MD_M14,OPUS,39894.058,39893.594,192.315
BR_M00,MD_M02,OPUS,39907.656,39907.192,192.296
BR_M00,MD_M03,OPUS,39909.799,39909.336,192.392
BR_M00,MD_M04,OPUS,39910.470,39910.007,192.287
BR_M00,MD_M05,OPUS,39911.211,39910.748,192.375
BR_M00,MD_M06,OPUS,39911.189,39910.726,192.272
BR_M00,MD_M07,OPUS,39910.378,39909.914,192.372
BR_M00,MD_M08,OPUS,39909.659,39909.196,192.268
BR_M00,MD_M09,OPUS,39907.427,39906.964,192.388
