name,ref,latitude,longitude,alt
MD1_M13,OPUS,39.472966544,-112.994066644,1589.247,-7344.547,19553.732,184.933
MD1_M02,OPUS,39.472845301,-112.994484684,1589.138,-7380.539,19540.302,184.823
MD1_M03,OPUS,39.472886437,-112.994456803,1589.242,-7378.135,19544.868,184.916
MD1_M04,OPUS,39.472904141,-112.994440013,1589.143,-7376.688,19546.832,184.813
MD1_M06,OPUS,39.472950772,-112.994375819,1589.137,-7371.158,19552.006,184.798
MD1_M07,OPUS,39.472973041,-112.994323246,1589.240,-7366.631,19554.475,184.899
MD1_M08,OPUS,39.472980734,-112.994296774,1589.136,-7364.352,19555.326,184.794
MD1_M09,OPUS,39.472990556,-112.994237914,1589.252,-7359.285,19556.413,184.913
MD1_MD2,OPUS,39.472350428,-112.991792187,1582.446,-7148.844,19485.108,178.564
BR1_BR2,CSRS,39.188847896,-112.712312125,1394.669,16973.542,-11982.146,-9.210
BR1_M00,CSRS,39.188304704,-112.711839855,1396.650,17014.489,-12042.379,-7.452
BR1_M01,CSRS,39.188305746,-112.711835747,1400.622,17014.854,-12042.270,-3.481
BR1_M02,CSRS,39.188265395,-112.711831329,1396.652,17015.235,-12046.742,-7.459
BR1_M04,CSRS,39.188372822,-112.711811041,1396.653,17016.962,-12034.809,-7.441
BR1_M04,CSRS,39.188372859,-112.711811042,1396.656,17016.962,-12034.805,-7.438
BR1_M05,CSRS,39.188371877,-112.711807102,1400.621,17017.314,-12034.921,-3.474
BR1_BR2,CSRS,39.188847902,-112.712312121,1394.671,16973.542,-11982.145,-9.208
BR1_ELS,CSRS,39.188865925,-112.712769355,1397.562,16934.034,-11980.235,-6.208
BR1_BR2,CSRS,39.188847900,-112.712312122,1394.672,16973.542,-11982.145,-9.207
BR1_M00,CSRS,39.188304648,-112.711839857,1396.654,17014.489,-12042.385,-7.448
BR1_M00,CSRS,39.188304645,-112.711839863,1396.767,17014.489,-12042.385,-7.335
BR1_M00,CSRS,39.188304657,-112.711839861,1396.764,17014.489,-12042.384,-7.338
BR1_M02,CSRS,39.188265378,-112.711831291,1396.657,17015.238,-12046.744,-7.455
BR1_M02,CSRS,39.188265378,-112.711831291,1396.655,17015.238,-12046.744,-7.457
BR1_M02,CSRS,39.188265378,-112.711831291,1396.655,17015.238,-12046.744,-7.457
BR1_M03,CSRS,39.188265331,-112.711827070,1400.621,17015.614,-12046.756,-3.492
